id,name,category,brand,description,price,rating,quantity,imgSrc,specs
FNDG-001,"Fender Player II Stratocaster HSS Electric Guitar, RW FB, Polar White",Guitar,Fender,"Step into the spotlight and experience iconic Fender® sound and style with the Player II Stratocaster® HSS — a stage-ready guitar with contemporary updates to power your performance and inspire your playing. The Player II Stratocaster HSS radiates timeless Fender charm, but under the hood, it's primed for today's players.",4799,5,20,/products/fender_p2_st_white.png,"Body Shape: Stratocaster®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern 'C';Fretboard Material: Slab Rosewood;Pickups: Player Series Alnico 2 Humbucker (Bridge), Player Series Alnico 5 Single-Coil (Middle, Neck)"
FNDG-002,"Fender Player II Telecaster Electric Guitar, RW FB, Aquatone Blue",Guitar,Fender,Step into the spotlight and experience iconic Fender® sound and style with the Player II Telecaster® — a stage-ready guitar with contemporary updates to power your performance and inspire your playing.,4599,5,25,/products/fender_p2_tl_blue.png,"Body Shape: Telecaster®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern 'C';Pickups: Player Series Alnico 5 Tele® Single-Coil (Bridge, Neck)"
FNDG-018,"Fender American Acoustasonic Stratocaster with Bag, Natural",Guitar,Fender,The American Acoustasonic™ Stratocaster® continues to embody the spirit of purposeful innovation that drives Fender guitars. The power of the Fender and Fishman®-designed Acoustic Engine is sure to deliver true inspiration.,10109,5,3,/products/fender_am_acous_st_natural.png,"Body Shape: Modified Stratocaster®;Body Material: Solid A Sitka Spruce (Top), Mahogany (Back);Pickups: 3-pickup configuration: Under-Saddle Piezo/Internal Body Sensor/N4 Magnetic"
DWDR-001,"DW Collector's Series 5-Piece Maple Drum Shell Pack, Natural",Drums,DW,"The DW Collector's Series Maple Drum Shell Pack delivers superior tone and craftsmanship, featuring HVLT shells for a punchy, dynamic sound.",24999,5,2,/products/dw_collectors_maple_shell_pack.webp,"Included Accessories: Floor Tom Legs (x3), DW Drum Key;Dimensions: 22'' Kick, 10'' and 12'' Rack Toms, 16'' Floor Tom;Weight: 35 kg"
FNDG-003,"Fender Player II Stratocaster HSS Electric Guitar, Maple FB, Aquatone Blue",Guitar,Fender,"The Player II Stratocaster HSS radiates timeless Fender charm, but under the hood, it's primed for today's players.",4799,4,12,/products/fender_p2_st_blue.png,"Body Shape: Stratocaster®;Body Material: Alder;Pickups: Player Series Alnico 2 Humbucker (Bridge), Player Series Alnico 5 Single-Coil (Middle, Neck)"
FNDG-019,"Fender 2024 Limited Collection, Made in Japan Hybrid II Stratocaster®, Larimar",Guitar,Fender,The Hybrid II Stratocaster® features a newly designed Hybrid II Custom Voiced Single Coil pickup in a well-established alder body and a two-point tremolo system with a vintage-style saddle.,4264.81,5,0,/products/fender_2024_collection_jp_h2_st_larimar.png,"Body Material: Alder;Pickups: Hybrid II Custom Voiced Single Coil Stratocaster® (Bridge, Middle, Neck);Bridge: 2-Point Synchronized Tremolo"
