id,imgSrc,name,category,brand,description,price,oriPrice,rating,quantity,specs
FNDG-001,"/products/fender_p2_st_white.png","Fender Player II Stratocaster HSS Electric Guitar, RW FB, Polar White",Guitar,Fender,"Step into the spotlight and experience iconic Fender® sound and style with the Player II Stratocaster® HSS — a stage-ready guitar with contemporary updates to power your performance and inspire your playing. The Player II Stratocaster HSS radiates timeless Fender charm, but under the hood, it's primed for today's players.",4799,4999,5,20,"Body Shape: Stratocaster®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern 'C';Fretboard Material: Slab Rosewood;Pickups: Player Series Alnico 2 Humbucker (Bridge), Player Series Alnico 5 Single-Coil (Middle, Neck);"
ROLK-002,"/products/roland_gp_3_baby_grand_digital_piano_polished_ebony_with_bench.png","Roland GP-3 Baby Grand Digital Piano, Polished Ebony with Bench",Keyboard,Roland,"The GP-3 is the most compact and affordable grand in the acclaimed GP series, bringing you premium piano performance in a unique low-profile design that makes a statement in any living space. Roland's modern features and benefits are infused throughout, from the organic piano sound engine and responsive hammer-action keyboard to onboard recording, BluetoothÂ® audio/MIDI connectivity, and deep integration with the Roland Piano App. If you've always wanted a grand piano but thought you didn't have the space or budget to make it happen, the GP-3 turns your dream into reality.",13990,15990,5,3,"No. of Keys: 88 keys;Type of Keys: Piano Reality Standard Keyboard with Escapement, Ivory Feel, and Dynamic Sensor Acceleration Technology;Max. Polyphony: 256 voices;Piano Sound: Piano Reality Standard Sound Engine;Touch Response: 5 types, fixed touch;Effects: Ambience, Brilliance;Number of Tones: 285;Built-in Songs: 394 songs;Lesson Function: 287 songs (Scale, Hanon, Beyer, Burgmuller, Czerny 100);Pedal: Damper (Piano Reality Standard Pedal, capable of continuous detection), Soft (capable of continuous detection, function assignable), Sostenuto (function assignable);Recorder: Standard MIDI Files (Format 0, 1 parts, Approx. 70,000 notes memory);Connectors: DC In jack, USB Computer port: USB B type (supports USB MIDI/AUDIO), USB Memory port: USB A type, Phones jack x 2: Stereo miniature phone type, Stereo 1/4-inch phone type;Convenient Functions: Metronome (adjustable Tempo/Beat/Volume), Dual, TwinPiano, Transpose (in semitones), Speaker volume and Headphones volume automatically select function, Speaker Auto Mute, Auto Off;App: Roland Piano App;Bluetooth: Bluetooth Ver 4.2, Profile: A2DP (Audio), GATT (MIDI over Bluetooth Low Energy), CODEC: SBC (Supports SCMS-T content protection);Sound System: Piano Reality Standard Sound System;Speakers: Two - 12 cm (4-3/4 inches);Headphones: Piano Reality Headphones Ambience;Cabinet: Piano Reality Cabinet Design, Music rest: Fixed angle, with Music holders, Keyboard cover: Slide type;Power Supply: AC adaptor;Power Consumption: 10 W (When using the included AC adaptor);Dimensions: 1,394 mm (W) Ã— 698 mm (D) Ã— 1214 mm (H) with music rest;Weight: 57.3 kg / 126 lbs 6 oz"
ROLD-001,"/products/roland_td_27KV2_bundle.png","Roland TD-27KV2 (Version 2) Digital Drum Kit, Bundle Set",Drum,Roland,"When you need an expressive drum kit for recording and rehearsal duties, the TD-27KV2 V-Drums delivers. With generously sized pads all around, there's plenty of space to get comfortable behind the kit. Then there's the natural and superior expression that you only get from Roland's unique digital snare, hi-hat, and ride pads. And it's all hooked up to the updated TD-27 module, complete with new preset kits, effects, and processing capabilitiesâ€”based on the same technology found in Roland's flagship TD-50X. Practice with songs via wireless BluetoothÂ® audio. Record up to 28 channels of audio through a single USB cable, and then take your sound out on the road with assignable direct audio outputs. Whether practising, recording, rehearsing, or gigging, a drummer's life is a busy oneâ€”so pick the kit that can do it all.",17990,19990,5,3,"Extra Trigger Input Jack: 4 (AUX1-AUX3, CRASH 2);Included Accessories: Sound module mount, AC adaptor, Special connection cable, Connection cable (Crash2), Drum key, Setup Guide, Owner's manuals;Dimensions: 1,550mm (W) x 1,200mm (D) x 1,200mm (H) including Kick pad, Cymbals, Hi-hat stand and Drum throne;Weight: 33 kg / 72 lbs 13 oz"
FNDG-002,"/products/fender_p2_tl_blue.png","Fender Player II Telecaster Electric Guitar, RW FB, Aquatone Blue",Guitar,Fender,Step into the spotlight and experience iconic Fender® sound and style with the Player II Telecaster® — a stage-ready guitar with contemporary updates to power your performance and inspire your playing.,4599,4999,5,25,"Body Shape: Telecaster®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern 'C';Pickups: Player Series Alnico 5 Tele® Single-Coil (Bridge, Neck);"
FNDG-018,"/products/fender_am_acous_st_natural.png","Fender American Acoustasonic Stratocaster with Bag, Natural",Guitar,Fender,The American Acoustasonic™ Stratocaster® continues to embody the spirit of purposeful innovation that drives Fender guitars. The power of the Fender and Fishman®-designed Acoustic Engine is sure to deliver true inspiration.,10109,11999,5,3,"Body Shape: Modified Stratocaster®;Body Material: Solid A Sitka Spruce (Top), Mahogany (Back);Pickups: 3-pickup configuration: Under-Saddle Piezo/Internal Body Sensor/N4 Magnetic;"
