id,name,category,brand,description,price,rating,quantity,imgSrc,specs
ROLK-001,"Roland darrenbodo FP-30X Black - 88-Key Digital Piano, Full Set","Keyboard","Roland","When quality counts but budget is a factor, the FP-30X is the sweet spot of Roland's FP-X series. Balancing affordability with superior performance, this slim and stylish portable piano builds on the entry-level FP-10 with an enhanced sound engine, more powerful onboard speakers, and increased polyphony. Featuring Roland's SuperNATURAL Piano technology and the same expressive 88-note PHA-4 Standard keyboard as the premium FP-60X, the FP-30X is the perfect home instrument for seasoned players. And with its easy-to-transport weight and Bluetooth connectivity for lessons and play-along audio, it's an ideal choice for any pianist who wants to develop their skills or perform at small events.",3717,5,10,"/products/roland_fp_30X_black_88_key_full_set.png","Piano Sound: SuperNATURAL Piano;Maximum Polyphony: 256 voices;Tones: Piano (12 tones), E. Piano (20 tones), Other (24 tones);Keyboard: 88 keys (PHA-4 Standard Keyboard: with Escapement and Ivory Feel);Speakers: 12 cm x 2;Rated Power Output: 11 W x 2;Bluetooth: Audio Bluetooth Ver 3.0 (Supports SCMS-T content protection), MIDI Bluetooth Ver 4.0;Compatible Android/iOS Apps (Roland): Piano Every Day, Piano Designer;Playback Software: Standard MIDI Files (Format 0, 1), Audio File (WAV: 44.1 kHz, 16-bit linear format, MP3: 44.1 kHz, 64 kbps - 320 kbps, requires USB flash drive);Recordable Software: Standard MIDI Files (Format 0, 1 part, Approx. 70,000 notes memory);Internal Songs: 30;Touch Sensitivity: 5 types, fixed touch;Master Tuning: 415.3--466.2 Hz (adjustable in increments of 0.1 Hz);Effects: Ambience, Brilliance, Rotary Speaker Effect (Only for organ tones);Piano Designer: Lid, String Resonance, Damper Resonance, Key Off Resonance, Single Note Tuning, Single Note Character, Single Note Volume, Temperament, Temperament Key;Convenient Functions: Metronome (adjustable Tempo/Beat/Down beat/Pattern/Volume/Tone), Dual, Split (split point adjustable), TwinPiano, Tone Demo, Speaker volume and Headphones volume automatically select function, Speaker Auto Mute, Speaker switch, Auto Off;Connectors: DC In jack, Pedal1 (Damper) jacks (capable of continuous detection when optional pedal connected), Pedal2 (Damper, Sostenuto, Soft) jacks (capable when dedicated pedal board connected), Output (L/Mono, R) jacks: 1/4-inch phone type, USB Computer port: USB B type (supports USB MIDI/AUDIO), USB Memory port: USB A-type, Phones jack x 2: Stereo miniature phone type, Stereo 1/4-inch phone type;Power Supply: AC Adaptor;Power Consumption: 16W (When using the included AC adaptor);Accessories: Owner's Manual, Leaflet "USING THE UNIT SAFELY, AC adaptor, Power cord, Music rest;Dimensions: 1,300mm (W) x 284mm (D) x 151mm (H) without music rest / 1,300mm (W) x 344mm (D) x 931mm (H) with music rest;Weight: 14.8kg / 32lbs 11oz"
ROLK-002,"Roland GP-3 Baby Grand Digital Piano, Polished Ebony with Bench","Keyboard","Roland","The GP-3 is the most compact and affordable grand in the acclaimed GP series, bringing you premium piano performance in a unique low-profile design that makes a statement in any living space. Roland's modern features and benefits are infused throughout, from the organic piano sound engine and responsive hammer-action keyboard to onboard recording, Bluetooth® audio/MIDI connectivity, and deep integration with the Roland Piano App. If you've always wanted a grand piano but thought you didn't have the space or budget to make it happen, the GP-3 turns your dream into reality.",13990,5,3,"/products/roland_gp_3_baby_grand_digital_piano_polished_ebony_with_bench.png","No. of Keys: 88 keys;Type of Keys: Piano Reality Standard Keyboard with Escapement, Ivory Feel, and Dynamic Sensor Acceleration Technology;Max. Polyphony: 256 voices;Piano Sound: Piano Reality Standard Sound Engine;Touch Response: 5 types, fixed touch;Effects: Ambience, Brilliance;Number of Tones: 285;Built-in Songs: 394 songs;Lesson Function: 287 songs (Scale, Hanon, Beyer, Burgmuller, Czerny 100);Pedal: Damper (Piano Reality Standard Pedal, capable of continuous detection), Soft (capable of continuous detection, function assignable), Sostenuto (function assignable);Recorder: Standard MIDI Files (Format 0, 1 parts, Approx. 70,000 notes memory);Connectors: DC In jack, USB Computer port: USB B type (supports USB MIDI/AUDIO), USB Memory port: USB A type, Phones jack x 2: Stereo miniature phone type, Stereo 1/4-inch phone type;Convenient Functions: Metronome (adjustable Tempo/Beat/Volume), Dual, TwinPiano, Transpose (in semitones), Speaker volume and Headphones volume automatically select function, Speaker Auto Mute, Auto Off;App: Roland Piano App;Bluetooth: Bluetooth Ver 4.2, Profile: A2DP (Audio), GATT (MIDI over Bluetooth Low Energy), CODEC: SBC (Supports SCMS-T content protection);Sound System: Piano Reality Standard Sound System;Speakers: Two - 12 cm (4-3/4 inches);Headphones: Piano Reality Headphones Ambience;Cabinet: Piano Reality Cabinet Design, Music rest: Fixed angle, with Music holders, Keyboard cover: Slide type;Power Supply: AC adaptor;Power Consumption: 10 W (When using the included AC adaptor);Included Accessories: Owner's Manual, Leaflet ""Leaflet Stand Assembly"", Leaflet ""USING THE UNIT SAFELY"", AC adaptor, Power cord, Headphone hook;Dimensions: 1,394 mm (W) × 698 mm (D) × 1214 mm (H) with music rest;Weight: 57.3 kg / 126 lbs 6 oz"
ROLK-003,"Roland F-701 Charcoal Black - 88-Key Digital Piano, Full Set","Keyboard","Roland","If you're learning piano as a new hobby or just looking to start playing again, you want to pick an instrument that matches your style. While some traditional pianos can look out of place with modern furnishings, the F701 is made with the contemporary home in mind, offering a stylish, understated cabinet and compact size that fits easily in smaller spaces. Yet while the minimal aesthetic seamlessly blends with your décor and subtly enhances the look of any room, the F701's performance as a musical instrument is bold and commanding.",6111,4,10,"/products/roland_F_701_charcoal_black_88_key_full _set.png","Piano Sound: SuperNATURAL Piano;Maximum Polyphony: 256 voices;Tones: 324;Keyboard: PHA-4 Standard Keyboard: with Escapement and Ivory Feel (88 keys);Pedal: Damper (capable of continuous detection), Soft (capable of continuous detection, function assignable), Sostenuto (function assignable);Speaker: 12 cm (4-3/4 inches) x 2;Rated Power Output: 12 W x 2;Headphones: Effect: Headphones 3D Ambience;Touch Sensitivity: 100 types, fixed touch;Master Tuning: 415.3--466.2 Hz (adjustable in increments of 0.1 Hz);Temperament: 10 types (Equal, Just Major, Just Minor, Pythagorean, Kirnberger I, Kirnberger II, Kirnberger III, Meantone, Werckmeister, Arabic), selectable temperament key;Effects: Brilliance, Ambience;Piano Designer: Lid, String Resonance, Damper Resonance, Key Off Resonance, Single Note Tuning, Single Note Volume, Single Note Character;Internal Songs: 377 songs (Total), 10 Listening songs, 30 Ensemble songs, 20 Entertainment songs, 30 Let's Sing with DO RE MI songs, 287 Lesson songs (Scale, Hanon, Byber, Burgmuller, Czerny 100);Playable Software: Standard MIDI Files (Format 0, 1), Audio File (WAV: 44.1 kHz, 16-bit linear format, MP3: 44.1 kHz, 64 kbps - 320 kbps, requires USB Flash Memory);Recordable Software: Standard MIDI Files (Format 0, 3 parts, Approx. 70,000 notes memory), Audio File (WAV: 44.1 kHz, 16-bit linear format, requires USB Flash Memory);Bluetooth: Audio Bluetooth Ver 3.0 (Supports SCMS-T content protection), MIDI Bluetooth Ver 4.0;Compatible Android/iOS Apps (Roland): Piano Every Day, Piano Designer;Convenient Functions: Metronome (adjustable Tempo/Beat/Down beat/Pattern/Volume/Tone), Dual, Split, TwinPiano, Transpose (in semitones), Speaker volume and Headphones volume automatically select function, Volume limit function, Speaker Auto Mute, Panel Lock, Auto Off;Cabinet: Fixed Angle Music Rest, Folding Type Key Cover;Display: Graphic. OLED 128 x 64 dots;Connectors: DC In jack, Input jacks: Stereo miniature phone type, USB Computer port: USB B type, USB Memory port: USB A type, Phones jack x 2: Stereo miniature phone type, Stereo 1/4-inch phone type;Power Supply: AC Adaptor;Power Consumption: 20 W (when using the included AC adaptor);Accessories: Owner's Manual, Leaflet ""USING THE UNIT SAFELY"", The collection of scores ""Roland Piano Masterpieces"" (CHINA only), AC adaptor, Power cord, Headphone hook, Stabilizer;Dimensions: 360 mm (W) x 345 mm (D) x 781 mm (H) with lid closed / 1,360 mm (W) x 345 mm (D) x 913 mm (H) with lid open;Weight: 36.0 kg / 79 lbs 6 oz"
