id,name,category,brand,description,price,rating,quantity,imgSrc,specs
FNDG-019,"Fender 2024 Limited Collection, Made in Japan Hybrid II Stratocaster®, Larimar","Guitar","Fender","The Made in Japan Hybrid II is a series that deserves to be called a ""hybrid"" because it incorporates all-around modern specs that can be used for any player or music genre, while retaining its vintage looks. Regardless of rhythm or reed, we have realised a product that combines playability and instrument tone that fits any guitarist or bassist at Made in Japan, which has many fans around the world. The Hybrid II Stratocaster® features a newly designed Hybrid II Custom Voiced Single Coil pickup in a well-established alder body and a two-point tremolo system with a vintage-style saddle. Vintage rocking tuner, Modern ""C"" shape with satin-finish neck, 9.5-inch radius fingerboard and narrow tall frets provide smooth playability. The 2024 limited edition model features a beautiful and unique finish with the themes of [Ore] and [Sky Blue]. This product will be available only in 2024.",4264.81,5,0,"/products/fender_2024_collection_jp_h2_st_larimar.png","Body Material: Alder;Body Finish: Gloss Polyester;Body Shape: Stratocaster®;Neck Material: Maple;Neck Finish: Satin Urethane Finish on Back, Gloss Urethane Finish on Front;Neck Shape: Modern ""C"";Scale Length: 25.5"" (64.77 cm);Fingerboard Material: Rosewood;Fingerboard Radius: 9.5"" (241 mm);Number of Frets: 22;Fret Size: Narrow Tall;Nut Material: Bone;Nut Width: 1.650"" (42 mm);Position Inlays: White Dot;Pickups: Hybrid II Custom Voiced Single Coil Stratocaster® (Bridge), Hybrid II Custom Voiced Single Coil Stratocaster® (Middle), Hybrid II Custom Voiced Single Coil Stratocaster® (Neck);Controls: Master Volume, Tone 1. (Neck Pickup), Tone 2. (Bridge/Middle Pickup);Switching: 5-Position Blade: Position 1. Bridge Pickup, Position 2. Bridge and Middle Pickup, Position 3. Middle Pickup, Position 4. Middle and Neck Pickup, Position 5. Neck Pickup;Configuration: SSS;Bridge: 2-Point Synchronized Tremolo with Vintage-Style Stamped Steel Saddles;Hardware Finish: Nickel/Chrome;Tuning Machines: Vintage-Style Locking;Control Knobs: Eggshell;Switch Tip: Eggshell;Neck Plate: 4-Bolt;Strings: Nickel Plated Steel (.009-.042 Gauges);Case: Gig Bag"
FNDG-005,"Fender 70th Anniversary Ultra Stratocaster Electric Guitar, Maple FB, Amethyst","Guitar","Fender","Experience elevated tones and playability with the 70th Anniversary American Ultra Stratocaster HSS. An incredible sight to behold, the lustrous and pearly iridescent Amethyst finish dances across the alder body's sculpted contours - changing colours before your very eyes. The 70th Anniversary American Ultra Stratocaster HSS features a unique ""Modern D"" neck profile with ultra-rolled fingerboard edges for hours of playing comfort. Roasted maple ensures absolute stability and enhanced resonance, while the tapered neck heel allows easy access to the highest register. A speedy 10""-14"" compound-radius fingerboard and 22 medium-jumbo frets provide effortless playability across the entire neck. The 70th Anniversary Ultra Noiseless™ Strat® pickups and 70th Anniversary Ultra Quadra Tap™ Humbucker, along with advanced wiring options, provide endless tonal possibilities - with pristine clarity and no hum. Other key features include an Ultra 2-point tremolo bridge, sealed locking tuning machines, chrome hardware and bone nut. Includes vintage-style Black Tweed case. The 70th Anniversary American Ultra Stratocaster HSS: a versatile, state-of-the-art instrument designed to push your playing to new heights.",14129,5,6,"/products/fender_70th_ultra_st_maple_fB_amethyst.png","Body Shape: Stratocaster®; Body Material: Alder; Body Finish: Gloss Urethane; Neck Profile: Modern ""D""; Fretboard Material: Maple; Fretboard Radius: 10"" to 14"" Compound Radius (254 mm to 355.6 mm); Scale Length: 25.5"" (64.77 cm); No. of Frets: 22 Medium Jumbo Frets; Fretboard Inlays: Black Pearloid Dots; Pickups: 70th Anniversary Ultra Quadra Tap™ Humbucker (Bridge), 70th Anniversary Ultra Noiseless™ Strat® (Middle), 70th Anniversary Ultra Noiseless™ Strat® (Neck); Bridge: 2-Point Deluxe Synchronized Tremolo with Pop-In Arm; Pickguard: 3-Ply Black/White/Black; Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges), PN 0730250403; Tuning Machines: Deluxe Cast/Sealed Locking (all short posts); Hardware Finish: Nickel/Chrome; Case: Deluxe Black Tweed Hardshell with Embroidered 70th Anniversary Logo"
IBNG-003,"Ibanez TOD10 Tim Henson Signature Electric Guitar, Classic Silver","Guitar","Ibanez","The TOD10 is the third Ibanez signature model for American guitarist Tim Henson of the instrumental rock band Polyphia. It was produced in Indonesia as part of the Ibanez AZ series mid-tier Premium line in late 2022. The TOD10 features an American basswood body bolted to a one-piece roasted maple neck with an ebony fingerboard with 24 stainless steel frets, acrylic & abalone Tree of Death position markers and luminescent side dots. Components include a pair of custom active Fishman Fluence pickups mounted directly to the body, a T1502 two-point synchronized tremolo bridge, a Graph Tech TUSQ nut and an angled output jack. It has Gotoh MG-T locking tuning machines with the thumb wheel locking mechanism rather than the adjustable height H.A.P.M locking tuners which are on the other AZ guitars.",7683,5,0,"/products/ibanez_TOD10_tim_henson_classic_silver.webp","Body Material: American Basswood; Neck Profile: AZ Oval C; Fretboard Material: Ebony; Fretboard Radius: 305mmR; Scale Length: 648mm/25.5""; No. of Frets: 24 Jumbo Frets; Fretboard Inlays: Tree of Death inlay; Pickups: Fishman® Fluence™ Tim Henson Signature Series Active/Alnico Humbucker (Bridge), Fishman® Fluence™ Tim Henson Signature Series Active/Alnico Humbucker (Neck); Bridge: Gotoh® T1502 tremolo bridge; Strings: D'Addario® EXL110 .010/.013/.017/.026/.036/.046; Tuning Machines: Gotoh® MG-T locking machine heads; Hardware Finish: Chrome; Case: Gig Bag"
ROLD-003,"Roland TD-17KVX2 Digital Drum Kit, Full Set","Drum","Roland","The TD-17KVX2 takes the acclaimed TD-17 V-Drums series to the next level with an enhanced TD-17 module and essential pad upgrades. Explore a variety of new kits and effects, plus additional sounds at Roland Cloud. Play with extra precision thanks to the 12-inch VH-10 floating hi-hat that mounts on an acoustic stand. And fully express yourself with a second 12-inch crash cymbal. The TD-17KVX2 lets your technique and expression shine through, backed with inspiring training tools to push you further. A 12-inch mesh-head snare and newly developed thin cymbals across the board deliver a high-end experience that's stunningly close to playing acoustic drums. Meanwhile, an array of built-in coaching functions track your technique, measure your progress, and increase your motivation every day. With the TD-17KVX2, the journey to becoming a better drummer is faster than you can imagine.",8730,4,10,"/products/roland_td_17KVX2_full_set.png","Includes: Sound module mount, AC adaptor, Special connection cable, Connection cable (Crash2), Drum key, Setup guide, Owner's manuals;Dimensions: 1,315 mm (W) x 1,100 mm (D) x 1,200 mm (H);Weight: 24.7 kg / 54 lbs 8 oz"
FOCA-002,"Focusrite Scarlett Solo Studio Pack (3rd Generation)","Accessory","Focusrite","Featuring the smallest USB audio interface Focusrite makes, mic, headphones and all the cables you need to get started, Scarlett Solo Studio is ready to record every song you'll ever write. The CM25 MkIII mic captures every detail and the HP60 MkIII headphones mean clear and comfortable mixing and monitoring. A 3rd Gen mic preamp, high-headroom instrument input and now-iconic Gain Halos mean the science of sounding great is sorted.",1169,4,10,"/products/focusrite_solo_3rd.png","Type: Audio Interface"
FNDG-009,"Fender Special Edition Custom Telecaster FMT HH Electric Guitar, Amber","Guitar","Fender","An exquisite high-end Telecaster experience awaits the player who gets his hands on a Special Edition Custom Telecaster FMT HH. First, it looks phenomenal, with a carved flame maple top on a mahogany body, cream body binding, a gorgeous Amber finish with a matching headstock, a mahogany set neck, abalone dot fingerboard inlays and black hardware. Second, it sounds phenomenal, with dual Seymour Duncan® humbucking pickups, three-way pickup switching, a push/pull coil tap switch built into the master tone control knob, and more. A decidedly non-traditional Telecaster of peerlessly crafted style and powerful sonic substance.",4039,5,1,"/products/fender_custom_tl_amber.png","Body Shape: Telecaster®;Body Material: Mahogany with Carved Flame Maple Top;Body Colour: Amber;Body Finish: Urethane;Fretboard Material: Indian Laurel;Fretboard Radius: 15.75"" (400 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22;Fretboard Inlays: Abalone Dots;Pickups: Seymour Duncan® '59™ SH-1N (Neck), Seymour Duncan® Pearly Gates™ SH-PG1B (Bridge);Bridge: 6-Saddle String-Through-Body Hardtail With Block Saddles;Pickguard: None;Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges);Tuning Machines: Standard Cast/Sealed;Hardware Finish: Black Nickel"
PRSG-006,"PRS Myles Kennedy Signature Electric Guitar, Hunter Green","Guitar","PRS","Introducing Myles Kennedy's first signature model. Known for his work in Alter Bridge, Slash and the Conspirators, and his own solo recordings, Kennedy is an accomplished guitarist who brings blues and jazz style to rock guitar playing. This new signature model mirrors Kennedy's rock sensibilities with a nod to historic designs. While the aesthetic may have players hearing chicken pickin' in their heads - and this guitar can certainly reach twang territory - it is made to play like a rock machine.",13999,5,0,"/products/prs_mk_signature_hunter_green.png","Body Material: Swamp Ash; Neck Profile: Dustie Waring; Fretboard Material: Maple; Fretboard Radius: 10""; Scale Length: 25.5""; No. of Frets: 22; Fretboard Inlays: Birds; Pickups: Narrowfield MK (Treble), Narrowfield MK (Bass); Bridge: PRS Plate Style, Steel; Strings: PRS Signature 10-46; Tuning Machines: Vintage-Style; Hardware Finish: Nickel; Case: Premium Gig Bag"
FNDG-018,"Fender American Acoustasonic Stratocaster with Bag, Natural","Guitar","Fender","The American Acoustasonic™ Stratocaster® continues to embody the spirit of purposeful innovation that drives Fender guitars. The power of the Fender and Fishman®-designed Acoustic Engine is sure to deliver true inspiration. From acoustic shapeshifting to electric rhythm tones, this extremely versatile guitar creates a brand-new lane on the sonic highway.",10109,5,3,"/products/fender_am_acous_st_natural.png","Body Shape: Modified Stratocaster®;Body Material: Solid A Sitka Spruce (Top), Mahogany (Back & Sides);Body Colour: Natural;Body Finish: Polyester Satin Matte;Neck Profile: Modern ""Deep C"";Fretboard Material: Ebony;Fretboard Radius: 12"" (305 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22;Fretboard Inlays: White Dot;Pickup(s): 3-pickup configuration: Under-Saddle Piezo/Internal Body Sensor/N4 Magnetic;Bridge: Modern Asymmetrical;Pickguard: None;Strings: Fender® Dura-Tone® 860CL Coated Phosphor Bronze (.011-.052 Gauge);Tuning Machines: Fender® Standard Cast/Sealed Staggered;Hardware Finish: Chrome;Case: 1225 Deluxe Gig Bag"
FNDG-007,"Fender Ltd Ed Player Telecaster Electric Guitar, Roasted Maple FB, Sienna Sunburst","Guitar","Fender","Bold, innovative and rugged, the Player Telecaster is pure Fender, through and through. The feel, the style and, most importantly, the sound—they're all there, waiting for you to make them whisper or wail for your music. Versatile enough to handle almost anything you can create and durable enough to survive any gig, this workhorse is a trusty sidekick for your musical vision.",3815.1,5,27,"/products/fender_p_tl_maple_fb_sunburst.png","Body Shape: Telecaster®;Body Material: Alder;Body Colour: Sienna Sunburst;Body Finish: Gloss Polyester;Fretboard Material: Roasted Maple;Fretboard Radius: 9.5"" (241 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22;Fretboard Inlays: Black Dot;Pickup(s): Player Series Alnico 5 Tele® Single-Coil (Bridge & Neck);Bridge: 6-Saddle String-Through-Body Tele® with Block Steel Saddles;Pickguard: 3-Ply Parchment;Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges), PN 0730250403;Tuning Machines: Standard Cast/Sealed;Hardware Finish: Nickel/Chrome"
