id,name,category,brand,description,price,rating,quantity,imgSrc,specs
ROLD-001,"Roland TD-27KV2 (Version 2) Digital Drum Kit, Bundle","Drum","Roland","When you need an expressive drum kit for recording and rehearsal duties, the TD-27KV2 V-Drums delivers. With generously sized pads all around, there's plenty of space to get comfortable behind the kit. Then there's the natural and superior expression that you only get from Roland's unique digital snare, hi-hat, and ride pads. And it's all hooked up to the updated TD-27 module, complete with new preset kits, effects, and processing capabilitiesâbased on the same technology found in Roland's flagship TD-50X. Practice with songs via wireless BluetoothÂ® audio. Record up to 28 channels of audio through a single USB cable, and then take your sound out on the road with assignable direct audio outputs. Whether practising, recording, rehearsing, or gigging, a drummer's life is a busy oneâso pick the kit that can do it all.",17990,5,3,"/products/roland_td_27KV2_bundle.png","Extra Trigger Input Jack: 4 (AUX1-AUX3, CRASH 2);Included Accessories: Sound module mount, AC adaptor, Special connection cable, Connection cable (Crash2), Drum key, Setup Guide, Owner's manuals;Dimensions: 1,550mm (W) x 1,200mm (D) x 1,200mm (H) including Kick pad, Cymbals, Hi-hat stand and Drum throne;Weight: 33 kg / 72 lbs 13 oz"
ROLD-002,"Roland V-Drums Acoustic Design VAD507 Electronic Drum Bundle Set","Drum","Roland","The VAD507 delivers the commanding presence of a full acoustic drum set on stage—with the convenience and control of electronic drums. This premium five-piece kit features wood shells with full depth and diameter, covered with attractive wraps and mounted on double-braced chrome stands. Roland's advanced digital sensor technology and dynamic TD-27 drum module provide the sound and response to match, with every stroke, ghost note, roll, and swell expressed in incredible detail. Building on the previous VAD506 model, the VAD507 adds a digital hi-hat for even greater expression, plus heavy-duty cymbal stands inherited from the flagship VAD706. The TD-27 module has also been updated, bringing you new kits and samples, expanded processing options, and more.",25990,5,2,"/products/roland_V_drums_acoustic_VAD507_bundle.png","Included Accessories: Sound module mount, AC adaptor, Special connection cable, Connection cable (Crash2), Drum key, Setup guide, Owner's manuals;Dimensions: 1,850 (W) x 1,400 (D) x 1,200 (H) mm / 72-7/8 (W) x 55-1/8 (D) x 47-1/4 (H) inches (including Kick pad, Cymbals, Hi-hat stand and Drum throne);Weight: 54 kg / 119 lbs 0.8 oz"
ROLD-003,"Roland TD-17KVX255 Digital Drum Kit, Full Set","Drum","Roland","The TD-17KVX2 takes the acclaimed TD-17 V-Drums series to the next level with an enhanced TD-17 module and essential pad upgrades. Explore a variety of new kits and effects, plus additional sounds at Roland Cloud. Play with extra precision thanks to the 12-inch VH-10 floating hi-hat that mounts on an acoustic stand. And fully express yourself with a second 12-inch crash cymbal. The TD-17KVX2 lets your technique and expression shine through, backed with inspiring training tools to push you further. A 12-inch mesh-head snare and newly developed thin cymbals across the board deliver a high-end experience that's stunningly close to playing acoustic drums. Meanwhile, an array of built-in coaching functions track your technique, measure your progress, and increase your motivation every day. With the TD-17KVX2, the journey to becoming a better drummer is faster than you can imagine.",8730,4,10,"/products/roland_td_17KVX2_full_set.png","Includes: Sound module mount, AC adaptor, Special connection cable, Connection cable (Crash2), Drum key, Setup guide, Owner's manuals;Dimensions: 1,315 mm (W) x 1,100 mm (D) x 1,200 mm (H);Weight: 24.7 kg / 54 lbs 8 oz"
