id,name,category,brand,description,price,rating,quantity,imgSrc,specs
FNDA-001,"Yeaaaaa Ana Overdrive Guitar Effects Pedal","Accessory","Nux","Fender helped generate the classic guitar tones that inspired players to create new music, and now with the Santa Ana Overdrive, we've brought our expertise to stompboxes. Armed with FET technology, this pedal lets you dial in sounds varying from "just a little hairy" all the way to thick, fully saturated overdrive. The flexible tone controls unlock a wide range of sonic flavors. This pedal cleans up with the guitar's volume control, just like our famous amplifiers.",1000,5,1000,"/products/fender_santa_ana_overdrive_pedal.png","Type: Effect Pedal"
FNDA-002,"Fender The Pelt Fuzz Guitar Effects Pedal","Accessory","Fender","A good fuzz pedal is indispensable—this gloriously splatty, satisfying sound has been the cornerstone of rock tone for decades. An all-original design, The Pelt Fuzz has a few tricks hidden up its sleeve. All the familiar controls are there: Level, Fuzz and Tone, along with a Bloom control to shape the contours of your sound. Our secret-weapon Mid switch lets you boost or cut the midrange for even more voicing options, while the Thick switch adds some girth to your sound.",494,5,20,"/products/fender_the_pelt_fuzz_pedal.png","Type: Effect Pedal"
ROLA-001,"Roland GK-3 Guitar Pickup","Accessory","Roland","The newly redesigned Roland GK-3 Guitar Pickup turns your guitar into a synthesizer by sending individual signals from each guitar string to GK-compatible devices. You can switch between synth, normal guitar tone, and mixed settings. All attachment accessories including double-sided tapes, a holder to secure the controller to your guitar's body, and a special pickup attachment plate for Les Paul style guitars are included. It also comes with a length adjustable pickup cable and a 1/4"" phone jack for normal guitar use. The new design allows theGK-3 adjust to the varying contours of different guitar models including pronounced archtops.",580,5,3,"/products/roland_gk_3_guitar_pickup.png","Type: Guitar Pickup"
