id,name,category,brand,description,price,rating,quantity,imgSrc,specs
FNDG-019,"Fender 2024 Limited Collection, Made in Japan Hybrid II Stratocaster®, Larimar","Guitar","Fender","The Made in Japan Hybrid II is a series that deserves to be called a ""hybrid"" because it incorporates all-around modern specs that can be used for any player or music genre, while retaining its vintage looks. Regardless of rhythm or reed, we have realised a product that combines playability and instrument tone that fits any guitarist or bassist at Made in Japan, which has many fans around the world. The Hybrid II Stratocaster® features a newly designed Hybrid II Custom Voiced Single Coil pickup in a well-established alder body and a two-point tremolo system with a vintage-style saddle. Vintage rocking tuner, Modern ""C"" shape with satin-finish neck, 9.5-inch radius fingerboard and narrow tall frets provide smooth playability. The 2024 limited edition model features a beautiful and unique finish with the themes of [Ore] and [Sky Blue]. This product will be available only in 2024.",4264.81,5,0,"/products/fender_2024_collection_jp_h2_st_larimar.png","Body Material: Alder;Body Finish: Gloss Polyester;Body Shape: Stratocaster®;Neck Material: Maple;Neck Finish: Satin Urethane Finish on Back, Gloss Urethane Finish on Front;Neck Shape: Modern ""C"";Scale Length: 25.5"" (64.77 cm);Fingerboard Material: Rosewood;Fingerboard Radius: 9.5"" (241 mm);Number of Frets: 22;Fret Size: Narrow Tall;Nut Material: Bone;Nut Width: 1.650"" (42 mm);Position Inlays: White Dot;Pickups: Hybrid II Custom Voiced Single Coil Stratocaster® (Bridge), Hybrid II Custom Voiced Single Coil Stratocaster® (Middle), Hybrid II Custom Voiced Single Coil Stratocaster® (Neck);Controls: Master Volume, Tone 1. (Neck Pickup), Tone 2. (Bridge/Middle Pickup);Switching: 5-Position Blade: Position 1. Bridge Pickup, Position 2. Bridge and Middle Pickup, Position 3. Middle Pickup, Position 4. Middle and Neck Pickup, Position 5. Neck Pickup;Configuration: SSS;Bridge: 2-Point Synchronized Tremolo with Vintage-Style Stamped Steel Saddles;Hardware Finish: Nickel/Chrome;Tuning Machines: Vintage-Style Locking;Control Knobs: Eggshell;Switch Tip: Eggshell;Neck Plate: 4-Bolt;Strings: Nickel Plated Steel (.009-.042 Gauges);Case: Gig Bag"
FNDG-006,"Fender Ltd Ed Player Stratocaster Electric Guitar, Maple FB, 3-Tone Sunburst","Guitar","Fender","The inspiring sound of a Stratocaster is one of the foundations of Fender. Featuring this classic sound—bell-like high end, punchy mids and robust low end, combined with crystal-clear articulation—the Player Stratocaster is packed with authentic Fender feel and style. It's ready to serve your musical vision, it's versatile enough to handle any style of music and it's the perfect platform for creating your own sound.",3608.1,5,33,"/products/fender_p_st_maple_fb_sunburst.png","Body Shape: Stratocaster®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern ""C"";Fretboard Material: Maple;Fretboard Radius: 7.25"" (184.1 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22 Medium Jumbo;Fretboard Inlays: White Dot;Pickups: Player Series Alnico 5 Strat® Single-Coil (Bridge), Player Series Alnico 5 Strat® Single-Coil (Middle), Player Series Alnico 5 Strat® Single-Coil (Neck);Bridge: 2-Point Synchronized Tremolo with Bent Steel Saddles;Pickguard: 3-Ply Parchment;Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges), PN 0730250403;Tuning Machines: Standard Cast/Sealed;Hardware Finish: Nickel/Chrome"
FNDG-002,"Fender Player II Telecaster Electric Guitar, RW FB, Aquatone Blue","Guitar","Fender","Step into the spotlight and experience iconic Fender® sound and style with the Player II Telecaster® — a stage-ready guitar with contemporary updates to power your performance and inspire your playing. The Player II Telecaster radiates timeless Fender charm, but under the hood, it's primed for today's players. Everything about the neck is designed for fast and fluid playability, from the Modern ""C""-profile with silky satin urethane finish on the back to the comfy 9.5""-radius slab rosewood or maple fingerboard with smooth rolled edges and 22 medium jumbo frets. Player Series Alnico V Single-Coil Tele® pickups offer crystalline highs, musical mids and tight lows that elevate any genre. The 3-way blade switch lets you dial in everything from smooth neck pickup chime to cutting bridge pickup twang and all points in between, while a 6-saddle bridge, block steel saddles and ClassicGear™ tuners ensure precise tuning stability for the flexibility to explore endless sonic possibilities. Perfect for crafting your own sound, the Player II Telecaster has the looks, tone and feel that only a Fender delivers.",4599,5,25,"/products/fender_p2_tl_blue.png","Body Shape: Telecaster®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern ""C"";Fretboard Material: Slab Rosewood;Fretboard Radius: 9.5"" (241 mm);Scale Length: 25.5"" (64.77 cm);No. of Frets: 22 Medium Jumbo Frets;Fretboard Inlays: White Dot Inlays;Pickups: Player Series Alnico 5 Tele® Single-Coil (Bridge), Player Series Alnico 5 Tele® Single-Coil (Neck);Bridge: 6-Saddle String-Through-Body Tele® with Block Steel Saddles;Pickguard: 3-Ply Parchment;Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges), PN 0730250403;Tuning Machines: Fender® ClassicGear™;Hardware Finish: Nickel/Chrome"
PRSG-003,"PRS SE Custom 24-08 Electric Guitar, Quilted Lake Blue","Guitar","PRS","The Custom 24 is the quintessential PRS guitar: the iconic guitar that started it all back in 1985. The Custom 24-08 keeps all the foundational specs of the instrument while taking the Custom platform to new sonic territories. Like the Core Series instrument, the SE Custom 24-08 features two mini-toggle coil-tap switches that individually tap the humbuckers for single coil sounds and a total of eight pickup configurations. Classic design elements include a maple top, mahogany back, rosewood fretboard, 24 frets, 25"" scale length, bird inlays, signature headstock logo, and PRS patented moulded tremolo.",5299,5,10,"/products/prs_se_custom_24_08_quilted_lake_blue.png","Body Material: Shallow Violin Carved Flame Maple (Top), Mahogany (Body); Neck Profile: Wide Thin; Fretboard Material: Rosewood; Fretboard Radius: 10""; Scale Length: 25""; No. of Frets: 24; Fretboard Inlays: Birds; Pickups: TCI ""S"" (Treble), TCI ""S"";Bridge: PRS Patented Tremolo;Strings: PRS Classic 9-42;Tuning Machines: PRS Designed Tuners;Hardware Finish: Nickel;Case: Gig Bag"
FNDG-009,"Fender Special Edition Custom Telecaster FMT HH Electric Guitar, Amber","Guitar","Fender","An exquisite high-end Telecaster experience awaits the player who gets his hands on a Special Edition Custom Telecaster FMT HH. First, it looks phenomenal, with a carved flame maple top on a mahogany body, cream body binding, a gorgeous Amber finish with a matching headstock, a mahogany set neck, abalone dot fingerboard inlays and black hardware. Second, it sounds phenomenal, with dual Seymour Duncan® humbucking pickups, three-way pickup switching, a push/pull coil tap switch built into the master tone control knob, and more. A decidedly non-traditional Telecaster of peerlessly crafted style and powerful sonic substance.",4039,5,1,"/products/fender_custom_tl_amber.png","Body Shape: Telecaster®;Body Material: Mahogany with Carved Flame Maple Top;Body Colour: Amber;Body Finish: Urethane;Fretboard Material: Indian Laurel;Fretboard Radius: 15.75"" (400 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22;Fretboard Inlays: Abalone Dots;Pickups: Seymour Duncan® '59™ SH-1N (Neck), Seymour Duncan® Pearly Gates™ SH-PG1B (Bridge);Bridge: 6-Saddle String-Through-Body Hardtail With Block Saddles;Pickguard: None;Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges);Tuning Machines: Standard Cast/Sealed;Hardware Finish: Black Nickel"
PRSG-006,"PRS Myles Kennedy Signature Electric Guitar, Hunter Green","Guitar","PRS","Introducing Myles Kennedy's first signature model. Known for his work in Alter Bridge, Slash and the Conspirators, and his own solo recordings, Kennedy is an accomplished guitarist who brings blues and jazz style to rock guitar playing. This new signature model mirrors Kennedy's rock sensibilities with a nod to historic designs. While the aesthetic may have players hearing chicken pickin' in their heads - and this guitar can certainly reach twang territory - it is made to play like a rock machine.",13999,5,0,"/products/prs_mk_signature_hunter_green.png","Body Material: Swamp Ash; Neck Profile: Dustie Waring; Fretboard Material: Maple; Fretboard Radius: 10""; Scale Length: 25.5""; No. of Frets: 22; Fretboard Inlays: Birds; Pickups: Narrowfield MK (Treble), Narrowfield MK (Bass); Bridge: PRS Plate Style, Steel; Strings: PRS Signature 10-46; Tuning Machines: Vintage-Style; Hardware Finish: Nickel; Case: Premium Gig Bag"
FNDG-018,"Fender American Acoustasonic Stratocaster with Bag, Natural","Guitar","Fender","The American Acoustasonic™ Stratocaster® continues to embody the spirit of purposeful innovation that drives Fender guitars. The power of the Fender and Fishman®-designed Acoustic Engine is sure to deliver true inspiration. From acoustic shapeshifting to electric rhythm tones, this extremely versatile guitar creates a brand-new lane on the sonic highway.",10109,5,3,"/products/fender_am_acous_st_natural.png","Body Shape: Modified Stratocaster®;Body Material: Solid A Sitka Spruce (Top), Mahogany (Back & Sides);Body Colour: Natural;Body Finish: Polyester Satin Matte;Neck Profile: Modern ""Deep C"";Fretboard Material: Ebony;Fretboard Radius: 12"" (305 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22;Fretboard Inlays: White Dot;Pickup(s): 3-pickup configuration: Under-Saddle Piezo/Internal Body Sensor/N4 Magnetic;Bridge: Modern Asymmetrical;Pickguard: None;Strings: Fender® Dura-Tone® 860CL Coated Phosphor Bronze (.011-.052 Gauge);Tuning Machines: Fender® Standard Cast/Sealed Staggered;Hardware Finish: Chrome;Case: 1225 Deluxe Gig Bag"
FNDG-007,"Fender Ltd Ed Player Telecaster Electric Guitar, Roasted Maple FB, Sienna Sunburst","Guitar","Fender","Bold, innovative and rugged, the Player Telecaster is pure Fender, through and through. The feel, the style and, most importantly, the sound—they're all there, waiting for you to make them whisper or wail for your music. Versatile enough to handle almost anything you can create and durable enough to survive any gig, this workhorse is a trusty sidekick for your musical vision.",3815.1,5,27,"/products/fender_p_tl_maple_fb_sunburst.png","Body Shape: Telecaster®;Body Material: Alder;Body Colour: Sienna Sunburst;Body Finish: Gloss Polyester;Fretboard Material: Roasted Maple;Fretboard Radius: 9.5"" (241 mm);Scale Length: 25.5"" (648 mm);No. of Frets: 22;Fretboard Inlays: Black Dot;Pickup(s): Player Series Alnico 5 Tele® Single-Coil (Bridge & Neck);Bridge: 6-Saddle String-Through-Body Tele® with Block Steel Saddles;Pickguard: 3-Ply Parchment;Strings: Fender® USA 250L Nickel Plated Steel (.009-.042 Gauges), PN 0730250403;Tuning Machines: Standard Cast/Sealed;Hardware Finish: Nickel/Chrome"
